Instrument,Implied Volatility,Strike Price,Expiry Date,BID,ASK,CF_LAST,PUTCALLIND
NVDAG172617000.U,47.1799,170.0,2026-07-17,25.85,26.0,25.53,CALL
NVDAL172721000.U,48.1969,210.0,2027-12-17,37.8,38.15,37.65,CALL
NVDAB202606500.U,193.8543,65.0,2026-02-20,110.7,110.85,115.58,CALL
NVDAU182618500.U,45.3634,185.0,2026-09-18,28.4,28.6,29.83,PUT 
NVDAX172719000.U,46.0513,190.0,2027-12-17,46.65,47.05,47.11,PUT 
NVDAH212616500.U,47.7094,165.0,2026-08-21,30.9,31.05,31.1,CALL
NVDAI182617500.U,47.3172,175.0,2026-09-18,27.8,28.0,27.8,CALL
NVDAU182619500.U,44.9696,195.0,2026-09-18,34.5,34.7,36.85,PUT 
NVDAC202610000.U,94.5713,100.0,2026-03-20,76.25,76.45,76.15,CALL
NVDAM152722000.U,44.3518,220.0,2027-01-15,56.45,56.75,57.52,PUT 
NVDAO202601500.U,217.3301,15.0,2026-03-20,0.0,0.01,0.01,PUT 
NVDAB202605000.U,202.6375,50.0,2026-02-20,124.0,127.35,125.45,CALL
NVDAX182618300.U,45.7925,183.0,2026-12-18,31.25,31.45,29.48,PUT 
NVDAX182618400.U,45.6723,184.0,2026-12-18,31.8,32.05,30.0,PUT 
NVDAR182619100.U,45.1772,191.0,2026-06-18,27.25,27.4,27.0,PUT 
NVDAN202624000.U,75.2935,240.0,2026-02-20,63.55,65.4,59.65,PUT 
NVDAU182617500.U,45.9337,175.0,2026-09-18,23.0,23.15,23.1,PUT 
NVDAN202605500.U,169.6883,55.0,2026-02-20,0.0,0.01,0.01,PUT 
NVDAI182622000.U,45.7544,220.0,2026-09-18,12.3,12.4,12.21,CALL
NVDAA152718500.U,47.3516,185.0,2027-01-15,30.5,30.7,30.6,CALL
NVDAB202608500.U,139.6881,85.0,2026-02-20,90.7,90.85,90.27,CALL
NVDAC202601500.U,259.0879,15.0,2026-03-20,158.95,162.45,165.35,CALL
NVDAX152819000.U,45.5343,190.0,2028-12-15,53.2,53.85,54.53,PUT 
NVDAA152734000.U,46.8375,340.0,2027-01-15,4.05,4.15,4.03,CALL
NVDAL182618400.U,47.3736,184.0,2026-12-18,29.35,29.55,29.0,CALL
NVDAN202608500.U,121.8214,85.0,2026-02-20,0.01,0.03,0.03,PUT 
NVDAU182620000.U,44.8759,200.0,2026-09-18,37.75,38.0,37.95,PUT 
NVDAO202610000.U,76.9057,100.0,2026-03-20,0.18,0.2,0.18,PUT 
NVDAI182616500.U,48.1044,165.0,2026-09-18,32.9,33.05,32.25,CALL
NVDAR172718000.U,46.359,180.0,2027-06-17,35.85,36.2,36.56,PUT 
NVDAB202608000.U,151.8829,80.0,2026-02-20,95.7,95.85,95.65,CALL
NVDAN202605000.U,179.931,50.0,2026-02-20,0.0,0.01,0.01,PUT 
NVDAT212618500.U,44.8326,185.0,2026-08-21,26.8,27.0,28.45,PUT 
NVDAX152821000.U,45.1869,210.0,2028-12-15,65.85,66.55,66.39,PUT 
NVDAN202625000.U,67.2633,250.0,2026-02-20,73.55,75.3,75.8,PUT 
NVDAR172717000.U,46.4332,170.0,2027-06-17,30.5,30.75,30.8,PUT 
NVDAA152730000.U,46.4729,300.0,2027-01-15,6.55,6.7,6.65,CALL
NVDAX182618000.U,46.1296,180.0,2026-12-18,29.6,29.8,29.9,PUT 
NVDAL172719000.U,48.5581,190.0,2027-12-17,44.5,44.9,44.0,CALL
NVDAX172721000.U,45.7395,210.0,2027-12-17,59.3,59.75,61.75,PUT 
NVDAB202606000.U,190.8443,60.0,2026-02-20,115.65,115.8,113.89,CALL
NVDAO202606500.U,107.141,65.0,2026-03-20,0.04,0.05,0.04,PUT 
NVDAB202625500.U,55.5243,255.0,2026-02-20,0.01,0.02,0.02,CALL
NVDAO202604000.U,137.9397,40.0,2026-03-20,0.0,0.02,0.01,PUT 
NVDAL182618100.U,47.7339,181.0,2026-12-18,30.65,30.8,30.37,CALL
NVDAO202601000.U,255.9085,10.0,2026-03-20,0.0,0.01,0.01,PUT 
NVDAR182617700.U,46.2596,177.0,2026-06-18,19.2,19.35,20.55,PUT 
NVDAO202602500.U,173.5424,25.0,2026-03-20,0.0,0.01,0.01,PUT 
NVDAU182622000.U,44.3126,220.0,2026-09-18,52.2,52.45,51.49,PUT 
NVDAB202628000.U,60.4825,280.0,2026-02-20,0.0,0.02,0.01,CALL
NVDAF172716500.U,48.8344,165.0,2027-06-17,47.05,47.3,45.0,CALL
NVDAH212617000.U,46.9846,170.0,2026-08-21,28.2,28.35,28.25,CALL
NVDAO202607500.U,97.8834,75.0,2026-03-20,0.06,0.07,0.07,PUT 
NVDAX182618100.U,45.9939,181.0,2026-12-18,30.15,30.4,29.75,PUT 
NVDAR182607500.U,72.4952,75.0,2026-06-18,0.38,0.4,0.4,PUT 
NVDAN202625500.U,76.5644,255.0,2026-02-20,78.55,80.3,74.65,PUT 
NVDAO202602000.U,191.6265,20.0,2026-03-20,0.0,0.01,0.01,PUT 
NVDAO202603000.U,164.9247,30.0,2026-03-20,0.0,0.02,0.02,PUT 
NVDAH212618500.U,46.0931,185.0,2026-08-21,21.2,21.35,21.45,CALL
NVDAC202609000.U,89.2864,90.0,2026-03-20,86.1,86.3,84.9,CALL
NVDAQ152614500.U,50.3477,145.0,2026-05-15,5.2,5.3,5.37,PUT 
NVDAF182617600.U,47.3989,176.0,2026-06-18,20.9,21.0,20.85,CALL
NVDAB202624500.U,52.7683,245.0,2026-02-20,0.02,0.03,0.03,CALL
NVDAC202603000.U,182.1065,30.0,2026-03-20,144.0,147.5,150.5,CALL
NVDAA212821000.U,48.169,210.0,2028-01-21,39.1,39.45,39.37,CALL
NVDAC202626000.U,49.7185,260.0,2026-03-20,0.21,0.22,0.22,CALL
NVDAI182618500.U,46.7488,185.0,2026-09-18,23.35,23.5,23.21,CALL
NVDAO202606000.U,112.5322,60.0,2026-03-20,0.02,0.03,0.03,PUT 
NVDAH212622000.U,44.9512,220.0,2026-08-21,10.4,10.5,10.32,CALL
NVDAC202607000.U,120.373,70.0,2026-03-20,105.95,106.15,103.7,CALL
NVDAC202602000.U,183.5881,20.0,2026-03-20,153.95,157.45,160.43,CALL
NVDAO202604500.U,136.1795,45.0,2026-03-20,0.0,0.02,0.02,PUT 
NVDAO202609500.U,80.7544,95.0,2026-03-20,0.14,0.15,0.19,PUT 
NVDAC202604500.U,175.2631,45.0,2026-03-20,129.1,132.6,128.65,CALL
NVDAC202601000.U,325.7504,10.0,2026-03-20,163.9,167.4,170.45,CALL
NVDAC202604000.U,163.4297,40.0,2026-03-20,134.1,137.55,140.58,CALL
NVDAF172720000.U,47.5084,200.0,2027-06-17,32.85,33.1,33.11,CALL
NVDAC202602500.U,250.895,25.0,2026-03-20,149.0,152.5,155.68,CALL
NVDAI182617000.U,47.5609,170.0,2026-09-18,30.25,30.45,30.34,CALL
NVDAN202624500.U,63.5883,245.0,2026-02-20,68.55,70.3,64.68,PUT 
NVDAM152715500.U,47.2967,155.0,2027-01-15,18.7,18.85,18.95,PUT 
NVDAO202605000.U,128.5188,50.0,2026-03-20,0.01,0.03,0.02,PUT 
NVDAM212821000.U,45.6757,210.0,2028-01-21,60.05,60.45,61.48,PUT 
NVDAX182618200.U,45.917,182.0,2026-12-18,30.7,30.9,30.4,PUT 
NVDAC202603500.U,188.7972,35.0,2026-03-20,139.05,142.55,145.6,CALL
NVDAM152714500.U,47.8528,145.0,2027-01-15,14.8,14.95,15.2,PUT 
NVDAC202600500.U,410.2982,5.0,2026-03-20,169.8,171.55,175.43,CALL
NVDAA152715500.U,49.389,155.0,2027-01-15,45.0,45.25,45.45,CALL
NVDAL182618200.U,47.5742,182.0,2026-12-18,30.15,30.4,28.9,CALL
NVDAF172717000.U,48.5887,170.0,2027-06-17,44.65,45.0,44.48,CALL
NVDAR182617600.U,46.3325,176.0,2026-06-18,18.7,18.85,18.7,PUT 
NVDAL182618600.U,47.2141,186.0,2026-12-18,28.5,28.7,29.4,CALL
NVDAB202629000.U,66.9089,290.0,2026-02-20,0.0,0.01,0.01,CALL
NVDAO202603500.U,152.5434,35.0,2026-03-20,0.0,0.02,0.02,PUT 
NVDAR182616000.U,47.9386,160.0,2026-06-18,11.75,11.85,11.85,PUT 
NVDAN202627000.U,98.886,270.0,2026-02-20,93.55,95.3,89.65,PUT 
NVDAO202600500.U,322.4197,5.0,2026-03-20,0.0,0.01,0.01,PUT 
NVDAA152714500.U,50.0524,145.0,2027-01-15,50.7,51.55,49.35,CALL
NVDAO202608500.U,87.9719,85.0,2026-03-20,0.08,0.1,0.1,PUT 
NVDAC202608000.U,95.6341,80.0,2026-03-20,96.0,96.2,93.8,CALL
NVDAF182617700.U,47.3643,177.0,2026-06-18,20.4,20.55,19.6,CALL
NVDAR172716500.U,46.6216,165.0,2027-06-17,28.05,28.3,28.11,PUT 
NVDAF182616000.U,49.1535,160.0,2026-06-18,29.75,29.9,29.85,CALL
NVDAL182618800.U,47.0569,188.0,2026-12-18,27.7,27.9,28.0,CALL
NVDAR182621000.U,44.4907,210.0,2026-06-18,40.55,40.75,42.25,PUT 
NVDAC202606500.U,129.1721,65.0,2026-03-20,110.9,111.1,110.53,CALL
NVDAB202630000.U,71.4459,300.0,2026-02-20,0.0,0.01,0.01,CALL
NVDAX172719500.U,45.8696,195.0,2027-12-17,49.7,50.1,50.35,PUT 
NVDAN202630000.U,119.9359,300.0,2026-02-20,123.55,125.35,119.63,PUT 
NVDAN202628000.U,106.1586,280.0,2026-02-20,103.55,105.35,99.65,PUT 
NVDAC202608500.U,103.2953,85.0,2026-03-20,91.05,91.25,94.77,CALL
NVDAL182614500.U,50.0387,145.0,2026-12-18,49.5,50.05,50.05,CALL
NVDAT212622000.U,43.6206,220.0,2026-08-21,50.95,51.15,52.55,PUT 
NVDAX182618800.U,45.3875,188.0,2026-12-18,34.15,34.35,32.23,PUT 
NVDAX182617500.U,46.1044,175.0,2026-12-18,26.9,27.15,27.5,PUT 
NVDAF182622300.U,44.9986,223.0,2026-06-18,6.2,6.25,6.15,CALL
NVDAL172719500.U,48.4024,195.0,2027-12-17,42.7,43.05,42.53,CALL
NVDAR182617400.U,46.4161,174.0,2026-06-18,17.7,17.85,18.2,PUT 
NVDAM152715000.U,47.4909,150.0,2027-01-15,16.65,16.8,17.2,PUT 
NVDAC202605500.U,152.7828,55.0,2026-03-20,120.85,121.05,120.5,CALL
NVDAR172718500.U,45.9812,185.0,2027-06-17,38.65,38.95,40.0,PUT 
NVDAX182614500.U,48.0394,145.0,2026-12-18,13.9,14.1,14.17,PUT 
NVDAF172719500.U,47.6455,195.0,2027-06-17,34.6,34.85,33.41,CALL
NVDAF172717500.U,48.5477,175.0,2027-06-17,42.5,42.75,42.33,CALL
NVDAX182619100.U,45.2077,191.0,2026-12-18,35.9,36.15,33.93,PUT 
NVDAX182618900.U,45.2998,189.0,2026-12-18,34.7,35.0,32.78,PUT 
NVDAR172720000.U,45.4107,200.0,2027-06-17,47.8,48.15,49.3,PUT 
NVDAR172717500.U,46.385,175.0,2027-06-17,33.1,33.4,34.05,PUT 
NVDAF182622100.U,45.0082,221.0,2026-06-18,6.55,6.6,7.9,CALL
NVDAL172718000.U,49.3037,180.0,2027-12-17,48.3,48.7,48.39,CALL
NVDAN202629000.U,113.171,290.0,2026-02-20,113.55,115.3,109.65,PUT 
NVDAF182614500.U,51.4824,145.0,2026-06-18,39.9,40.35,39.1,CALL
NVDAL182618900.U,47.0169,189.0,2026-12-18,27.35,27.5,26.44,CALL
NVDAA152725000.U,45.8301,250.0,2027-01-15,12.55,12.75,12.5,CALL
NVDAX182618700.U,45.4322,187.0,2026-12-18,33.55,33.75,31.65,PUT 
NVDAF182617400.U,47.469,174.0,2026-06-18,21.9,22.05,21.9,CALL
NVDAR182622000.U,43.8958,220.0,2026-06-18,48.5,48.75,49.75,PUT 
NVDAU182615000.U,47.8817,150.0,2026-09-18,12.35,12.5,12.45,PUT 
NVDAL182618700.U,47.0972,187.0,2026-12-18,28.1,28.3,26.75,CALL
NVDAF182621700.U,45.0276,217.0,2026-06-18,7.3,7.4,7.25,CALL
NVDAX172718000.U,46.6813,180.0,2027-12-17,40.9,41.25,41.38,PUT 
NVDAL182619100.U,46.8627,191.0,2026-12-18,26.55,26.75,26.42,CALL
NVDAO202605500.U,119.0052,55.0,2026-03-20,0.02,0.03,0.02,PUT 
NVDAX172716500.U,46.927,165.0,2027-12-17,32.9,33.25,31.73,PUT 
NVDAC202607500.U,116.8918,75.0,2026-03-20,101.0,101.2,101.86,CALL
NVDAC202605000.U,156.9274,50.0,2026-03-20,124.65,127.65,123.45,CALL
NVDAR172719500.U,45.5106,195.0,2027-06-17,44.65,44.95,45.11,PUT 
NVDAC202606000.U,136.3725,60.0,2026-03-20,115.9,116.1,114.6,CALL
NVDAF182622200.U,44.9712,222.0,2026-06-18,6.35,6.45,6.0,CALL
NVDAR182617000.U,46.9324,170.0,2026-06-18,15.85,15.95,16.7,PUT 
NVDAL172716500.U,49.4381,165.0,2027-12-17,54.6,54.9,55.05,CALL
NVDAF172718500.U,48.1626,185.0,2027-06-17,38.35,38.6,38.7,CALL
NVDAL152816000.U,49.0211,160.0,2028-12-15,68.05,68.5,68.11,CALL
NVDAR172714500.U,47.8044,145.0,2027-06-17,19.2,19.4,20.15,PUT 
NVDAL182602100.U,107.6234,21.0,2026-12-18,154.1,157.2,158.82,CALL
NVDAF182621600.U,45.1309,216.0,2026-06-18,7.5,7.6,7.0,CALL
NVDAX152818000.U,46.005,180.0,2028-12-15,47.3,47.95,48.71,PUT 
NVDAL172717500.U,49.2706,175.0,2027-12-17,50.3,50.75,50.55,CALL
NVDAF172722000.U,47.1076,220.0,2027-06-17,26.75,27.0,26.67,CALL
NVDAX152816000.U,46.1684,160.0,2028-12-15,36.45,37.0,36.87,PUT 
NVDAF182617100.U,47.8784,171.0,2026-06-18,23.45,23.6,23.23,CALL
NVDAB202632000.U,80.3302,320.0,2026-02-20,0.0,0.01,0.01,CALL
NVDAX172720000.U,45.7727,200.0,2027-12-17,52.8,53.15,55.0,PUT 
NVDAF172714500.U,50.4264,145.0,2027-06-17,57.45,57.75,57.5,CALL
NVDAX182617800.U,46.0934,178.0,2026-12-18,28.5,28.7,30.0,PUT 
NVDAF182620500.U,45.4196,205.0,2026-06-18,10.05,10.15,10.13,CALL
NVDAA152712000.U,53.2764,120.0,2027-01-15,67.85,68.5,67.26,CALL
NVDAF182617000.U,48.0372,170.0,2026-06-18,24.0,24.1,23.75,CALL
NVDAF182616800.U,48.3586,168.0,2026-06-18,25.05,25.2,23.65,CALL
NVDAM152723000.U,44.4788,230.0,2027-01-15,64.0,64.35,66.2,PUT 
NVDAA212830000.U,47.4763,300.0,2028-01-21,20.1,20.45,20.02,CALL
NVDAN202631000.U,126.4735,310.0,2026-02-20,133.55,135.35,129.65,PUT 
NVDAF182621800.U,45.0553,218.0,2026-06-18,7.1,7.2,7.15,CALL
NVDAO202624000.U,45.359,240.0,2026-03-20,64.35,64.6,67.15,PUT 
NVDAC202628000.U,52.4062,280.0,2026-03-20,0.1,0.11,0.11,CALL
NVDAL182602400.U,111.8499,24.0,2026-12-18,149.85,155.75,156.93,CALL
NVDAF182623000.U,45.0792,230.0,2026-06-18,5.1,5.15,5.1,CALL
NVDAR182622300.U,43.935,223.0,2026-06-18,50.65,51.25,52.65,PUT 
NVDAF182600150.U,324.9857,1.5,2026-06-18,173.25,175.3,178.9,CALL
NVDAR182622100.U,43.8456,221.0,2026-06-18,49.35,49.55,51.25,PUT 
NVDAG172614500.U,50.5022,145.0,2026-07-17,41.4,41.6,41.48,CALL
NVDAX152819500.U,45.3729,195.0,2028-12-15,56.25,56.95,55.53,PUT 
NVDAM152711000.U,51.5554,110.0,2027-01-15,5.55,5.65,5.99,PUT 
NVDAU182615500.U,47.3407,155.0,2026-09-18,14.15,14.3,14.85,PUT 
NVDAR182616800.U,47.2542,168.0,2026-06-18,14.95,15.1,15.95,PUT 
NVDAX172715000.U,47.9691,150.0,2027-12-17,25.8,26.1,26.11,PUT 
NVDAF182616700.U,48.5825,167.0,2026-06-18,25.65,25.8,25.85,CALL
NVDAT212614500.U,48.2907,145.0,2026-08-21,9.5,9.6,9.7,PUT 
NVDAL152820000.U,48.1033,200.0,2028-12-15,53.35,53.85,53.42,CALL
NVDAX172717000.U,46.7531,170.0,2027-12-17,35.45,35.75,35.34,PUT 
NVDAN202632000.U,132.6335,320.0,2026-02-20,143.55,145.35,139.55,PUT 
NVDAA152724000.U,45.9544,240.0,2027-01-15,14.4,14.55,14.35,CALL
NVDAC202627000.U,51.2098,270.0,2026-03-20,0.14,0.15,0.15,CALL
NVDAN202633000.U,124.0576,330.0,2026-02-20,153.55,155.35,149.75,PUT 
NVDAL182602200.U,104.9658,22.0,2026-12-18,151.75,157.65,159.25,CALL
NVDAF182621900.U,44.9529,219.0,2026-06-18,6.9,7.0,6.85,CALL
NVDAS172614500.U,48.8884,145.0,2026-07-17,8.15,8.25,8.2,PUT 
NVDAR182616700.U,47.5078,167.0,2026-06-18,14.55,14.65,15.4,PUT 
NVDAX182600150.U,185.5459,1.5,2026-12-18,0.0,0.03,0.03,PUT 
NVDAX182601500.U,97.446,15.0,2026-12-18,0.01,0.05,0.03,PUT 
NVDAX152820000.U,45.2815,200.0,2028-12-15,59.4,60.1,60.04,PUT 
NVDAF182621500.U,45.1691,215.0,2026-06-18,7.7,7.8,7.7,CALL
NVDAL182617700.U,47.7437,177.0,2026-12-18,32.35,32.55,30.85,CALL
NVDAA152723000.U,46.2839,230.0,2027-01-15,16.5,16.7,16.21,CALL
NVDAR182619500.U,45.277,195.0,2026-06-18,29.8,30.0,29.98,PUT 
NVDAB202633000.U,81.3208,330.0,2026-02-20,0.0,0.01,0.01,CALL
NVDAL182617900.U,47.758,179.0,2026-12-18,31.5,31.7,30.26,CALL
NVDAL152818000.U,48.8805,180.0,2028-12-15,60.15,60.7,60.5,CALL
NVDAU182614500.U,48.7731,145.0,2026-09-18,10.75,10.85,10.77,PUT 
NVDAA152713500.U,51.3997,135.0,2027-01-15,57.3,58.0,56.97,CALL
NVDAR182616900.U,47.0623,169.0,2026-06-18,15.4,15.5,16.45,PUT 
NVDAR182617100.U,46.7423,171.0,2026-06-18,16.3,16.4,17.25,PUT 
NVDAA152709000.U,60.1805,90.0,2027-01-15,91.75,92.9,90.05,CALL
NVDAX172714500.U,48.0508,145.0,2027-12-17,23.6,23.85,24.68,PUT 
NVDAA212818000.U,49.3269,180.0,2028-01-21,49.55,49.95,49.56,CALL
NVDAR182600150.U,273.8635,1.5,2026-06-18,0.0,0.02,0.02,PUT 
NVDAN202638000.U,163.4631,380.0,2026-02-20,203.55,205.35,199.65,PUT 
NVDAA152715000.U,49.6677,150.0,2027-01-15,47.9,48.15,48.02,CALL
NVDAL152819500.U,48.1984,195.0,2028-12-15,54.95,55.5,54.94,CALL
NVDAF182622400.U,45.0898,224.0,2026-06-18,6.0,6.1,5.95,CALL
NVDAX182617900.U,46.08,179.0,2026-12-18,29.05,29.25,30.6,PUT 
NVDAL182617500.U,47.6893,175.0,2026-12-18,33.25,33.5,33.6,CALL
NVDAX172717500.U,46.7242,175.0,2027-12-17,38.1,38.45,38.44,PUT 
NVDAR182617200.U,46.6134,172.0,2026-06-18,16.75,16.9,17.75,PUT 
NVDAB202631000.U,73.3926,310.0,2026-02-20,0.0,0.01,0.01,CALL
NVDAF182617200.U,47.7208,172.0,2026-06-18,22.95,23.05,21.71,CALL
NVDAL182600150.U,292.4044,1.5,2026-12-18,172.85,174.75,178.38,CALL
NVDAL182617600.U,47.7364,176.0,2026-12-18,32.8,33.0,32.75,CALL
NVDAX182617700.U,46.1011,177.0,2026-12-18,27.95,28.2,27.68,PUT 
NVDAN202634000.U,124.4771,340.0,2026-02-20,163.55,165.35,159.7,PUT 
NVDAB202634000.U,85.1066,340.0,2026-02-20,0.0,0.01,0.01,CALL
NVDAX182601600.U,96.2981,16.0,2026-12-18,0.01,0.07,0.04,PUT 
NVDAR172722000.U,44.8928,220.0,2027-06-17,61.3,61.7,58.95,PUT 
NVDAM152714000.U,48.5025,140.0,2027-01-15,13.1,13.25,13.1,PUT 
NVDAF182619500.U,46.3005,195.0,2026-06-18,13.1,13.2,13.1,CALL
NVDAM152709000.U,55.1884,90.0,2027-01-15,2.78,2.84,2.88,PUT 
NVDAL182617800.U,47.7509,178.0,2026-12-18,31.95,32.1,31.1,CALL
NVDAE152623000.U,43.6534,230.0,2026-05-15,3.0,3.05,3.05,CALL
NVDAM212818000.U,46.6223,180.0,2028-01-21,41.6,41.95,41.91,PUT 
NVDAL182616000.U,48.9269,160.0,2026-12-18,40.8,41.0,40.5,CALL
NVDAL182601500.U,126.581,15.0,2026-12-18,158.65,164.2,165.13,CALL
NVDAR182622200.U,43.8587,222.0,2026-06-18,49.85,50.55,46.65,PUT 
NVDAF182621400.U,45.2735,214.0,2026-06-18,7.9,8.0,7.85,CALL
NVDAX182617600.U,46.1034,176.0,2026-12-18,27.45,27.7,27.63,PUT 
NVDAA152713000.U,51.6804,130.0,2027-01-15,60.5,61.35,60.8,CALL
NVDAL172717000.U,49.3819,170.0,2027-12-17,52.45,52.85,52.5,CALL
NVDAE152614500.U,51.7874,145.0,2026-05-15,37.4,37.85,37.16,CALL
NVDAB202638000.U,102.9198,380.0,2026-02-20,0.0,0.01,0.01,CALL
NVDAL172714500.U,50.8889,145.0,2027-12-17,64.3,65.15,64.55,CALL
NVDAR182616600.U,47.6886,166.0,2026-06-18,14.1,14.2,14.35,PUT 
NVDAF182616600.U,48.8082,166.0,2026-06-18,26.2,26.35,25.95,CALL
NVDAL182600200.U,256.0518,2.0,2026-12-18,172.35,175.45,178.65,CALL
NVDAL182602000.U,109.075,20.0,2026-12-18,155.15,158.1,161.18,CALL
NVDAM152701500.U,93.928,15.0,2027-01-15,0.02,0.05,0.02,PUT 
NVDAX182601400.U,100.4593,14.0,2026-12-18,0.01,0.05,0.04,PUT 
NVDAL172723000.U,47.7121,230.0,2027-12-17,32.2,32.5,32.1,CALL
NVDAL182601600.U,126.6099,16.0,2026-12-18,157.5,163.4,165.15,CALL
NVDAL182600400.U,270.562,4.0,2026-12-18,170.45,173.55,177.48,CALL
NVDAX182600400.U,143.7485,4.0,2026-12-18,0.0,0.03,0.03,PUT 
NVDAF182614400.U,51.6937,144.0,2026-06-18,40.6,41.05,38.5,CALL
NVDAO202627000.U,59.9362,270.0,2026-03-20,94.35,94.5,89.6,PUT 
NVDAF182600250.U,375.7327,2.5,2026-06-18,171.2,175.3,178.2,CALL
NVDAS172615500.U,47.5199,155.0,2026-07-17,11.2,11.35,11.45,PUT 
NVDAA152704500.U,81.1436,45.0,2027-01-15,130.35,135.95,137.7,CALL
NVDAF182622500.U,45.1167,225.0,2026-06-18,5.85,5.95,5.62,CALL
NVDAX182602200.U,90.5398,22.0,2026-12-18,0.05,0.09,0.09,PUT 
NVDAX182602600.U,83.6555,26.0,2026-12-18,0.07,0.11,0.09,PUT 
NVDAM152713000.U,49.1542,130.0,2027-01-15,10.05,10.2,10.15,PUT 
NVDAX152816500.U,46.0578,165.0,2028-12-15,39.05,39.6,39.44,PUT 
NVDAA152701500.U,132.2524,15.0,2027-01-15,158.75,164.45,165.35,CALL
NVDAA152712500.U,51.0077,125.0,2027-01-15,64.2,64.95,63.37,CALL
NVDAL172709500.U,56.0057,95.0,2027-12-17,95.3,96.4,92.56,CALL
NVDAM152708500.U,56.4195,85.0,2027-01-15,2.31,2.36,2.49,PUT 
NVDAM212819500.U,45.8662,195.0,2028-01-21,50.45,50.9,51.3,PUT 
NVDAR182622400.U,43.9352,224.0,2026-06-18,51.5,52.1,50.8,PUT 
NVDAR182614600.U,49.8472,146.0,2026-06-18,7.35,7.45,8.15,PUT 
NVDAX152822000.U,45.2805,220.0,2028-12-15,72.55,73.3,74.0,PUT 
NVDAX182619200.U,45.199,192.0,2026-12-18,36.55,36.8,34.53,PUT 
NVDAR182615200.U,49.3575,152.0,2026-06-18,9.05,9.15,9.48,PUT 
NVDAL182600500.U,251.1595,5.0,2026-12-18,169.55,172.5,176.58,CALL
NVDAN202635000.U,148.7004,350.0,2026-02-20,173.55,175.35,169.6,PUT 
NVDAX182602000.U,92.4983,20.0,2026-12-18,0.05,0.08,0.07,PUT 
NVDAF182616900.U,48.1363,169.0,2026-06-18,24.55,24.65,23.52,CALL
NVDAX182602800.U,83.608,28.0,2026-12-18,0.09,0.14,0.13,PUT 
NVDAR182600200.U,253.905,2.0,2026-06-18,0.0,0.02,0.02,PUT 
NVDAX182600250.U,148.66,2.5,2026-12-18,0.0,0.03,0.01,PUT 
NVDAF182621300.U,45.3787,213.0,2026-06-18,8.1,8.2,7.6,CALL
NVDAL182601100.U,153.7282,11.0,2026-12-18,162.3,168.2,169.18,CALL
NVDAX182621000.U,44.608,210.0,2026-12-18,48.35,48.6,49.86,PUT 
NVDAM152712500.U,49.7501,125.0,2027-01-15,8.75,8.9,8.95,PUT 
NVDAR182602500.U,114.9227,25.0,2026-06-18,0.01,0.04,0.03,PUT 
NVDAM152711500.U,51.1335,115.0,2027-01-15,6.5,6.6,6.85,PUT 
NVDAX182600600.U,129.866,6.0,2026-12-18,0.0,0.04,0.04,PUT 
NVDAX172709500.U,51.7882,95.0,2027-12-17,7.6,7.8,7.75,PUT 
NVDAA152729000.U,46.0336,290.0,2027-01-15,7.45,7.6,7.5,CALL
NVDAL152817500.U,48.9179,175.0,2028-12-15,62.15,62.55,61.72,CALL
NVDAR182621500.U,44.0299,215.0,2026-06-18,44.45,44.7,41.18,PUT 
NVDAR182614200.U,50.4969,142.0,2026-06-18,6.35,6.45,5.7,PUT 
NVDAR182600050.U,329.5744,0.5,2026-06-18,0.0,0.01,0.01,PUT 
NVDAR182619300.U,45.1984,193.0,2026-06-18,28.5,28.65,29.6,PUT 
NVDAX182600100.U,185.1187,1.0,2026-12-18,0.0,0.01,0.01,PUT 
NVDAA212820000.U,48.2323,200.0,2028-01-21,42.35,42.55,42.57,CALL
NVDAX182602500.U,87.7672,25.0,2026-12-18,0.07,0.12,0.12,PUT 
NVDAA212814500.U,50.8256,145.0,2028-01-21,65.45,66.2,65.0,CALL
NVDAL172722000.U,48.1553,220.0,2027-12-17,34.9,35.2,34.94,CALL
NVDAX182601000.U,112.4314,10.0,2026-12-18,0.01,0.05,0.03,PUT 
NVDAA152708500.U,61.7189,85.0,2027-01-15,96.3,97.25,94.5,CALL
NVDAX182600300.U,155.6422,3.0,2026-12-18,0.0,0.03,0.03,PUT 
NVDAX182600800.U,118.317,8.0,2026-12-18,0.0,0.04,0.04,PUT 
NVDAF182615200.U,50.9682,152.0,2026-06-18,35.0,35.15,32.8,CALL
NVDAF182615400.U,50.2756,154.0,2026-06-18,33.65,33.8,33.22,CALL
NVDAL182602600.U,101.3501,26.0,2026-12-18,147.9,153.85,150.2,CALL
NVDAM152704500.U,71.4438,45.0,2027-01-15,0.4,0.44,0.42,PUT 
NVDAR182601300.U,141.4295,13.0,2026-06-18,0.0,0.02,0.02,PUT 
NVDAX172722000.U,45.4778,220.0,2027-12-17,66.1,66.6,64.03,PUT 
NVDAF182614800.U,51.1971,148.0,2026-06-18,37.7,38.15,37.65,CALL
NVDAL152822000.U,47.9597,220.0,2028-12-15,47.45,47.85,47.8,CALL
NVDAT212615500.U,46.9986,155.0,2026-08-21,12.75,12.9,13.15,PUT 
NVDAF182601500.U,187.2013,15.0,2026-06-18,159.0,162.9,165.78,CALL
NVDAF182616200.U,48.9724,162.0,2026-06-18,28.55,28.7,27.75,CALL
NVDAR182616200.U,47.7555,162.0,2026-06-18,12.5,12.6,13.2,PUT 
